genome Protein
GCF_000195735.1.gff S15
GCF_000195735.1.gff S1
GCF_000195735.1.gff L25
GCF_000195735.1.gff L35
GCF_000195735.1.gff L20
GCF_000195735.1.gff L34
GCF_000195735.1.gff S21
GCF_000195735.1.gff S20
GCF_000195735.1.gff L17
GCF_000195735.1.gff S11
GCF_000195735.1.gff S13
GCF_000195735.1.gff L15
GCF_000195735.1.gff L30
GCF_000195735.1.gff S5
GCF_000195735.1.gff L18
GCF_000195735.1.gff L6
GCF_000195735.1.gff S8
GCF_000195735.1.gff S14
GCF_000195735.1.gff L5
GCF_000195735.1.gff L24
GCF_000195735.1.gff L14
GCF_000195735.1.gff S17
GCF_000195735.1.gff L29
GCF_000195735.1.gff L16
GCF_000195735.1.gff S3
GCF_000195735.1.gff L22
GCF_000195735.1.gff S19
GCF_000195735.1.gff L2
GCF_000195735.1.gff L23
GCF_000195735.1.gff L4
GCF_000195735.1.gff L3
GCF_000195735.1.gff S10
GCF_000195735.1.gff L21
GCF_000195735.1.gff L27
GCF_000195735.1.gff L32
GCF_000195735.1.gff S16
GCF_000195735.1.gff L33

GCF_000021865.1.gff S15
GCF_000021865.1.gff L11
GCF_000021865.1.gff L1
GCF_000021865.1.gff L10
GCF_000021865.1.gff L7/L12
GCF_000021865.1.gff S12
GCF_000021865.1.gff S7
GCF_000021865.1.gff S10
GCF_000021865.1.gff L3
GCF_000021865.1.gff L4
GCF_000021865.1.gff L23
GCF_000021865.1.gff L2
GCF_000021865.1.gff S19
GCF_000021865.1.gff L22
GCF_000021865.1.gff S3
GCF_000021865.1.gff L16
GCF_000021865.1.gff L29
GCF_000021865.1.gff S17
GCF_000021865.1.gff L14
GCF_000021865.1.gff L24
GCF_000021865.1.gff L5
GCF_000021865.1.gff S14
GCF_000021865.1.gff S8
GCF_000021865.1.gff L6
GCF_000021865.1.gff L18
GCF_000021865.1.gff S5
GCF_000021865.1.gff L30
GCF_000021865.1.gff L15
GCF_000021865.1.gff S13
GCF_000021865.1.gff S11
GCF_000021865.1.gff L17
GCF_000021865.1.gff L34
GCF_000021865.1.gff L31
GCF_000021865.1.gff L19
GCF_000021865.1.gff S16
GCF_000021865.1.gff S21
GCF_000021865.1.gff L13
GCF_000021865.1.gff S9
GCF_000021865.1.gff S1
GCF_000021865.1.gff S2
GCF_000021865.1.gff L32
GCF_000021865.1.gff L9
GCF_000021865.1.gff S18
GCF_000021865.1.gff S6
GCF_000021865.1.gff L27
GCF_000021865.1.gff L21
GCF_000021865.1.gff L33
GCF_000021865.1.gff S4
GCF_000021865.1.gff L25
GCF_000021865.1.gff L28
GCF_000021865.1.gff L20
GCF_000021865.1.gff L35
GCF_000021865.1.gff L36
GCF_000021865.1.gff S20

GCA_024818515.1.gff L27
GCA_024818515.1.gff L17
GCA_024818515.1.gff S4
GCA_024818515.1.gff S11
GCA_024818515.1.gff S13
GCA_024818515.1.gff L15
GCA_024818515.1.gff S5
GCA_024818515.1.gff L6
GCA_024818515.1.gff S8
GCA_024818515.1.gff S14
GCA_024818515.1.gff L5
GCA_024818515.1.gff L14
GCA_024818515.1.gff S19
GCA_024818515.1.gff L2
GCA_024818515.1.gff L4
GCA_024818515.1.gff L3
GCA_024818515.1.gff S10
GCA_024818515.1.gff S7
GCA_024818515.1.gff L7/L12
GCA_024818515.1.gff L11
GCA_024818515.1.gff S9

GCA_000953435.1.gff S16
GCA_000953435.1.gff L19
GCA_000953435.1.gff S2
GCA_000953435.1.gff L31
GCA_000953435.1.gff L11
GCA_000953435.1.gff L1
GCA_000953435.1.gff L10
GCA_000953435.1.gff L7/L12
GCA_000953435.1.gff S12
GCA_000953435.1.gff S7
GCA_000953435.1.gff S10
GCA_000953435.1.gff L3
GCA_000953435.1.gff L4
GCA_000953435.1.gff L23
GCA_000953435.1.gff L2
GCA_000953435.1.gff S19
GCA_000953435.1.gff L22
GCA_000953435.1.gff S3
GCA_000953435.1.gff L16
GCA_000953435.1.gff L29
GCA_000953435.1.gff S17
GCA_000953435.1.gff L14
GCA_000953435.1.gff L24
GCA_000953435.1.gff L5
GCA_000953435.1.gff S14
GCA_000953435.1.gff S8
GCA_000953435.1.gff L6
GCA_000953435.1.gff L18
GCA_000953435.1.gff S5
GCA_000953435.1.gff L30
GCA_000953435.1.gff L15
GCA_000953435.1.gff L36
GCA_000953435.1.gff S13
GCA_000953435.1.gff S11
GCA_000953435.1.gff S4
GCA_000953435.1.gff L17
GCA_000953435.1.gff L32
GCA_000953435.1.gff L20
GCA_000953435.1.gff L35
GCA_000953435.1.gff S20
GCA_000953435.1.gff L27
GCA_000953435.1.gff L21
GCA_000953435.1.gff L34
GCA_000953435.1.gff S15
GCA_000953435.1.gff L28
GCA_000953435.1.gff L33
GCA_000953435.1.gff S6
GCA_000953435.1.gff S18
GCA_000953435.1.gff S21
GCA_000953435.1.gff L25
GCA_000953435.1.gff L13
GCA_000953435.1.gff S9
GCA_000953435.1.gff S1

GCF_000027325.1.gff L33
GCF_000027325.1.gff S2
GCF_000027325.1.gff L11
GCF_000027325.1.gff L1
GCF_000027325.1.gff S12
GCF_000027325.1.gff S7
GCF_000027325.1.gff S6
GCF_000027325.1.gff S18
GCF_000027325.1.gff L9
GCF_000027325.1.gff S10
GCF_000027325.1.gff L3
GCF_000027325.1.gff L4
GCF_000027325.1.gff L23
GCF_000027325.1.gff L2
GCF_000027325.1.gff S19
GCF_000027325.1.gff L22
GCF_000027325.1.gff S3
GCF_000027325.1.gff L16
GCF_000027325.1.gff L29
GCF_000027325.1.gff S17
GCF_000027325.1.gff L14
GCF_000027325.1.gff L24
GCF_000027325.1.gff L5
GCF_000027325.1.gff S14
GCF_000027325.1.gff S8
GCF_000027325.1.gff L6
GCF_000027325.1.gff L18
GCF_000027325.1.gff S5
GCF_000027325.1.gff L15
GCF_000027325.1.gff L36
GCF_000027325.1.gff S13
GCF_000027325.1.gff S11
GCF_000027325.1.gff L17
GCF_000027325.1.gff L35
GCF_000027325.1.gff L20
GCF_000027325.1.gff S21
GCF_000027325.1.gff L21
GCF_000027325.1.gff L27
GCF_000027325.1.gff L31
GCF_000027325.1.gff S4
GCF_000027325.1.gff L33
GCF_000027325.1.gff L10
GCF_000027325.1.gff L7/L12
GCF_000027325.1.gff L32
GCF_000027325.1.gff S20
GCF_000027325.1.gff S9
GCF_000027325.1.gff L13
GCF_000027325.1.gff S15
GCF_000027325.1.gff L28
GCF_000027325.1.gff L19
GCF_000027325.1.gff S16
GCF_000027325.1.gff L34

GCF_012571345.1.gff L25
GCF_012571345.1.gff S20
GCF_012571345.1.gff L32
GCF_012571345.1.gff L35
GCF_012571345.1.gff L20
GCF_012571345.1.gff S2
GCF_012571345.1.gff S21
GCF_012571345.1.gff L17
GCF_012571345.1.gff S4
GCF_012571345.1.gff S11
GCF_012571345.1.gff S13
GCF_012571345.1.gff L36
GCF_012571345.1.gff L15
GCF_012571345.1.gff L30
GCF_012571345.1.gff S5
GCF_012571345.1.gff L18
GCF_012571345.1.gff L6
GCF_012571345.1.gff S8
GCF_012571345.1.gff S14
GCF_012571345.1.gff L5
GCF_012571345.1.gff L24
GCF_012571345.1.gff L14
GCF_012571345.1.gff S17
GCF_012571345.1.gff L29
GCF_012571345.1.gff L16
GCF_012571345.1.gff S3
GCF_012571345.1.gff L22
GCF_012571345.1.gff S19
GCF_012571345.1.gff L2
GCF_012571345.1.gff L23
GCF_012571345.1.gff L4
GCF_012571345.1.gff L3
GCF_012571345.1.gff S10
GCF_012571345.1.gff S1
GCF_012571345.1.gff S15
GCF_012571345.1.gff L7/L12
GCF_012571345.1.gff L10
GCF_012571345.1.gff L1
GCF_012571345.1.gff L11
GCF_012571345.1.gff S7
GCF_012571345.1.gff S12
GCF_012571345.1.gff S6
GCF_012571345.1.gff S18
GCF_012571345.1.gff L9
GCF_012571345.1.gff L28
GCF_012571345.1.gff L33
GCF_012571345.1.gff L31
GCF_012571345.1.gff S16
GCF_012571345.1.gff L19
GCF_012571345.1.gff L34
GCF_012571345.1.gff L13
GCF_012571345.1.gff S9
GCF_012571345.1.gff L21
GCF_012571345.1.gff L27

GCF_016889585.1.gff L25
GCF_016889585.1.gff L9
GCF_016889585.1.gff S18
GCF_016889585.1.gff S6
GCF_016889585.1.gff L27
GCF_016889585.1.gff L21
GCF_016889585.1.gff L19
GCF_016889585.1.gff L20
GCF_016889585.1.gff L35
GCF_016889585.1.gff L13
GCF_016889585.1.gff S9
GCF_016889585.1.gff S2
GCF_016889585.1.gff L11
GCF_016889585.1.gff L1
GCF_016889585.1.gff L10
GCF_016889585.1.gff L12
GCF_016889585.1.gff L28
GCF_016889585.1.gff S21
GCF_016889585.1.gff S20
GCF_016889585.1.gff S16
GCF_016889585.1.gff S15
GCF_016889585.1.gff L31
GCF_016889585.1.gff S12
GCF_016889585.1.gff S7
GCF_016889585.1.gff S10
GCF_016889585.1.gff L3
GCF_016889585.1.gff L4
GCF_016889585.1.gff L23
GCF_016889585.1.gff L2
GCF_016889585.1.gff S19
GCF_016889585.1.gff L2
GCF_016889585.1.gff S3
GCF_016889585.1.gff L16
GCF_016889585.1.gff S17
GCF_016889585.1.gff L14
GCF_016889585.1.gff L5
GCF_016889585.1.gff S14
GCF_016889585.1.gff S8
GCF_016889585.1.gff L6
GCF_016889585.1.gff L18
GCF_016889585.1.gff S5
GCF_016889585.1.gff L15
GCF_016889585.1.gff L36
GCF_016889585.1.gff S13
GCF_016889585.1.gff S11
GCF_016889585.1.gff S4
GCF_016889585.1.gff L17

GCF_001269425.1.gff L13
GCF_001269425.1.gff S9
GCF_001269425.1.gff L34
GCF_001269425.1.gff L31
GCF_001269425.1.gff L33
GCF_001269425.1.gff L28
GCF_001269425.1.gff L19
GCF_001269425.1.gff S16
GCF_001269425.1.gff S1
GCF_001269425.1.gff S10
GCF_001269425.1.gff L3
GCF_001269425.1.gff L4
GCF_001269425.1.gff L23
GCF_001269425.1.gff L2
GCF_001269425.1.gff S19
GCF_001269425.1.gff L22
GCF_001269425.1.gff S3
GCF_001269425.1.gff L16
GCF_001269425.1.gff L29
GCF_001269425.1.gff S17
GCF_001269425.1.gff L14
GCF_001269425.1.gff L24
GCF_001269425.1.gff L5
GCF_001269425.1.gff S14
GCF_001269425.1.gff S8
GCF_001269425.1.gff L6
GCF_001269425.1.gff L18
GCF_001269425.1.gff S5
GCF_001269425.1.gff L30
GCF_001269425.1.gff L15
GCF_001269425.1.gff L36
GCF_001269425.1.gff S13
GCF_001269425.1.gff S11
GCF_001269425.1.gff S4
GCF_001269425.1.gff L17
GCF_001269425.1.gff L25
GCF_001269425.1.gff L32
GCF_001269425.1.gff L20
GCF_001269425.1.gff L35
GCF_001269425.1.gff S12
GCF_001269425.1.gff S7
GCF_001269425.1.gff L11
GCF_001269425.1.gff L1
GCF_001269425.1.gff L10
GCF_001269425.1.gff L7/L12
GCF_001269425.1.gff S2
GCF_001269425.1.gff S20
GCF_001269425.1.gff L9
GCF_001269425.1.gff S18
GCF_001269425.1.gff S6
GCF_001269425.1.gff S21
GCF_001269425.1.gff S15
GCF_001269425.1.gff L27
GCF_001269425.1.gff L21

GCF_900039485.1.gff S16
GCF_900039485.1.gff L19
GCF_900039485.1.gff L13
GCF_900039485.1.gff S9
GCF_900039485.1.gff L20
GCF_900039485.1.gff L35
GCF_900039485.1.gff L33
GCF_900039485.1.gff L28
GCF_900039485.1.gff S20
GCF_900039485.1.gff L31
GCF_900039485.1.gff L32
GCF_900039485.1.gff L21
GCF_900039485.1.gff S6
GCF_900039485.1.gff S18
GCF_900039485.1.gff L9
GCF_900039485.1.gff L34
GCF_900039485.1.gff L7/L12
GCF_900039485.1.gff L10
GCF_900039485.1.gff L1
GCF_900039485.1.gff L11
GCF_900039485.1.gff L17
GCF_900039485.1.gff S4
GCF_900039485.1.gff S11
GCF_900039485.1.gff S13
GCF_900039485.1.gff L36
GCF_900039485.1.gff L15
GCF_900039485.1.gff L30
GCF_900039485.1.gff S5
GCF_900039485.1.gff L18
GCF_900039485.1.gff L6
GCF_900039485.1.gff S8
GCF_900039485.1.gff S14
GCF_900039485.1.gff L5
GCF_900039485.1.gff L24
GCF_900039485.1.gff L14
GCF_900039485.1.gff S17
GCF_900039485.1.gff L29
GCF_900039485.1.gff L16
GCF_900039485.1.gff S3
GCF_900039485.1.gff L22
GCF_900039485.1.gff S19
GCF_900039485.1.gff L2
GCF_900039485.1.gff L23
GCF_900039485.1.gff L4
GCF_900039485.1.gff L3
GCF_900039485.1.gff S10
GCF_900039485.1.gff L27
GCF_900039485.1.gff L25
GCF_900039485.1.gff S21
GCF_900039485.1.gff S7
GCF_900039485.1.gff S12
GCF_900039485.1.gff S15
GCF_900039485.1.gff S1
GCF_900039485.1.gff S2

GCF_012562765.1.gff L25
GCF_012562765.1.gff S20
GCF_012562765.1.gff L32
GCF_012562765.1.gff L35
GCF_012562765.1.gff L20
GCF_012562765.1.gff S2
GCF_012562765.1.gff S21
GCF_012562765.1.gff L17
GCF_012562765.1.gff S4
GCF_012562765.1.gff S11
GCF_012562765.1.gff S13
GCF_012562765.1.gff L36
GCF_012562765.1.gff L15
GCF_012562765.1.gff L30
GCF_012562765.1.gff S5
GCF_012562765.1.gff L18
GCF_012562765.1.gff L6
GCF_012562765.1.gff S8
GCF_012562765.1.gff S14
GCF_012562765.1.gff L5
GCF_012562765.1.gff L24
GCF_012562765.1.gff L14
GCF_012562765.1.gff S17
GCF_012562765.1.gff L29
GCF_012562765.1.gff L16
GCF_012562765.1.gff S3
GCF_012562765.1.gff L22
GCF_012562765.1.gff S19
GCF_012562765.1.gff L2
GCF_012562765.1.gff L23
GCF_012562765.1.gff L4
GCF_012562765.1.gff L3
GCF_012562765.1.gff S10
GCF_012562765.1.gff S1
GCF_012562765.1.gff S15
GCF_012562765.1.gff L7/L12
GCF_012562765.1.gff L10
GCF_012562765.1.gff L1
GCF_012562765.1.gff L11
GCF_012562765.1.gff S7
GCF_012562765.1.gff S12
GCF_012562765.1.gff S6
GCF_012562765.1.gff S18
GCF_012562765.1.gff L9
GCF_012562765.1.gff L28
GCF_012562765.1.gff L33
GCF_012562765.1.gff L31
GCF_012562765.1.gff S16
GCF_012562765.1.gff L19
GCF_012562765.1.gff L34
GCF_012562765.1.gff L13
GCF_012562765.1.gff S9
GCF_012562765.1.gff L21
GCF_012562765.1.gff L27

GCA_025999335.1.gff L32
GCA_025999335.1.gff L11
GCA_025999335.1.gff L21
GCA_025999335.1.gff S9
GCA_025999335.1.gff L13
GCA_025999335.1.gff L17
GCA_025999335.1.gff S4
GCA_025999335.1.gff S11
GCA_025999335.1.gff S13
GCA_025999335.1.gff L31
GCA_025999335.1.gff S2
GCA_025999335.1.gff S18
GCA_025999335.1.gff S7
GCA_025999335.1.gff S12
GCA_025999335.1.gff L20
GCA_025999335.1.gff L19
GCA_025999335.1.gff S20
GCA_025999335.1.gff S1
GCA_025999335.1.gff L7/L12
GCA_025999335.1.gff S15
GCA_025999335.1.gff S10
GCA_025999335.1.gff L3
GCA_025999335.1.gff L4
GCA_025999335.1.gff L2
GCA_025999335.1.gff S19
GCA_025999335.1.gff L22
GCA_025999335.1.gff S3
GCA_025999335.1.gff L16
GCA_025999335.1.gff S17
GCA_025999335.1.gff L14
GCA_025999335.1.gff L24
GCA_025999335.1.gff L5
GCA_025999335.1.gff S14
GCA_025999335.1.gff S8
GCA_025999335.1.gff L6
GCA_025999335.1.gff L18
GCA_025999335.1.gff S5
GCA_025999335.1.gff L15
GCA_025999335.1.gff L9
GCA_025999335.1.gff L25

GCF_000013165.1.gff S15
GCF_000013165.1.gff L9
GCF_000013165.1.gff S18
GCF_000013165.1.gff S6
GCF_000013165.1.gff S16
GCF_000013165.1.gff L35
GCF_000013165.1.gff L20
GCF_000013165.1.gff L33
GCF_000013165.1.gff S10
GCF_000013165.1.gff L3
GCF_000013165.1.gff L4
GCF_000013165.1.gff L23
GCF_000013165.1.gff L2
GCF_000013165.1.gff S19
GCF_000013165.1.gff L22
GCF_000013165.1.gff S3
GCF_000013165.1.gff L16
GCF_000013165.1.gff L29
GCF_000013165.1.gff S17
GCF_000013165.1.gff L14
GCF_000013165.1.gff L24
GCF_000013165.1.gff L5
GCF_000013165.1.gff S14
GCF_000013165.1.gff S8
GCF_000013165.1.gff L6
GCF_000013165.1.gff L18
GCF_000013165.1.gff S5
GCF_000013165.1.gff L15
GCF_000013165.1.gff S13
GCF_000013165.1.gff S11
GCF_000013165.1.gff L17
GCF_000013165.1.gff L25
GCF_000013165.1.gff L28
GCF_000013165.1.gff L31
GCF_000013165.1.gff S4
GCF_000013165.1.gff L32
GCF_000013165.1.gff L12
GCF_000013165.1.gff L10
GCF_000013165.1.gff L1
GCF_000013165.1.gff L11
GCF_000013165.1.gff S7
GCF_000013165.1.gff S12
GCF_000013165.1.gff S20
GCF_000013165.1.gff S21
GCF_000013165.1.gff S9
GCF_000013165.1.gff L13
GCF_000013165.1.gff L34
GCF_000013165.1.gff L19
GCF_000013165.1.gff L27
GCF_000013165.1.gff L21
GCF_000013165.1.gff L36
GCF_000013165.1.gff S2

GCA_015257795.3.gff S15
GCA_015257795.3.gff S20
GCA_015257795.3.gff S6
GCA_015257795.3.gff S18
GCA_015257795.3.gff L28
GCA_015257795.3.gff L20
GCA_015257795.3.gff L35
GCA_015257795.3.gff S21
GCA_015257795.3.gff L21
GCA_015257795.3.gff L31
GCA_015257795.3.gff S2
GCA_015257795.3.gff L27
GCA_015257795.3.gff L1
GCA_015257795.3.gff L7/L12
GCA_015257795.3.gff L10
GCA_015257795.3.gff L11
GCA_015257795.3.gff L33
GCA_015257795.3.gff L15
GCA_015257795.3.gff S5
GCA_015257795.3.gff L18
GCA_015257795.3.gff L6
GCA_015257795.3.gff S8
GCA_015257795.3.gff S14
GCA_015257795.3.gff L5
GCA_015257795.3.gff L24
GCA_015257795.3.gff L14
GCA_015257795.3.gff S17
GCA_015257795.3.gff L16
GCA_015257795.3.gff S3
GCA_015257795.3.gff L22
GCA_015257795.3.gff S19
GCA_015257795.3.gff L2
GCA_015257795.3.gff L23
GCA_015257795.3.gff L4
GCA_015257795.3.gff L3
GCA_015257795.3.gff S10
GCA_015257795.3.gff S7
GCA_015257795.3.gff S12
GCA_015257795.3.gff S9
GCA_015257795.3.gff L13
GCA_015257795.3.gff L17
GCA_015257795.3.gff S4
GCA_015257795.3.gff S11
GCA_015257795.3.gff S13
GCA_015257795.3.gff L36
GCA_015257795.3.gff L19
GCA_015257795.3.gff S16
GCA_015257795.3.gff L34

GCA_030060845.1.gff S6
GCA_030060845.1.gff S18
GCA_030060845.1.gff L9
GCA_030060845.1.gff L25
GCA_030060845.1.gff S2
GCA_030060845.1.gff L13
GCA_030060845.1.gff S9
GCA_030060845.1.gff L28
GCA_030060845.1.gff L31
GCA_030060845.1.gff L7/L12
GCA_030060845.1.gff L10
GCA_030060845.1.gff L1
GCA_030060845.1.gff L11
GCA_030060845.1.gff S15
GCA_030060845.1.gff L17
GCA_030060845.1.gff S11
GCA_030060845.1.gff S13
GCA_030060845.1.gff L15
GCA_030060845.1.gff L30
GCA_030060845.1.gff S5
GCA_030060845.1.gff L18
GCA_030060845.1.gff L6
GCA_030060845.1.gff S8
GCA_030060845.1.gff S14
GCA_030060845.1.gff L5
GCA_030060845.1.gff L24
GCA_030060845.1.gff L14
GCA_030060845.1.gff S17
GCA_030060845.1.gff L29
GCA_030060845.1.gff L16
GCA_030060845.1.gff S3
GCA_030060845.1.gff L22
GCA_030060845.1.gff S19
GCA_030060845.1.gff L2
GCA_030060845.1.gff L23
GCA_030060845.1.gff L4
GCA_030060845.1.gff L3
GCA_030060845.1.gff S10
GCA_030060845.1.gff S7
GCA_030060845.1.gff S12
GCA_030060845.1.gff S1
GCA_030060845.1.gff L35
GCA_030060845.1.gff L20
GCA_030060845.1.gff L21
GCA_030060845.1.gff L27
GCA_030060845.1.gff S16
GCA_030060845.1.gff L32
GCA_030060845.1.gff L34
GCA_030060845.1.gff L19
GCA_030060845.1.gff L33
GCA_030060845.1.gff L36
GCA_030060845.1.gff S4
GCA_030060845.1.gff S20

GCF_026644375.1.gff L9
GCF_026644375.1.gff S18
GCF_026644375.1.gff S6
GCF_026644375.1.gff S2
GCF_026644375.1.gff S1
GCF_026644375.1.gff L20
GCF_026644375.1.gff L35
GCF_026644375.1.gff L31
GCF_026644375.1.gff S20
GCF_026644375.1.gff S21
GCF_026644375.1.gff S9
GCF_026644375.1.gff L13
GCF_026644375.1.gff L28
GCF_026644375.1.gff S7
GCF_026644375.1.gff S12
GCF_026644375.1.gff L7/L12
GCF_026644375.1.gff L10
GCF_026644375.1.gff L1
GCF_026644375.1.gff L11
GCF_026644375.1.gff L33
GCF_026644375.1.gff L34
GCF_026644375.1.gff S10
GCF_026644375.1.gff L3
GCF_026644375.1.gff L4
GCF_026644375.1.gff L23
GCF_026644375.1.gff L2
GCF_026644375.1.gff S19
GCF_026644375.1.gff L22
GCF_026644375.1.gff S3
GCF_026644375.1.gff L16
GCF_026644375.1.gff L29
GCF_026644375.1.gff S17
GCF_026644375.1.gff L14
GCF_026644375.1.gff L24
GCF_026644375.1.gff L5
GCF_026644375.1.gff S14
GCF_026644375.1.gff S8
GCF_026644375.1.gff L6
GCF_026644375.1.gff L18
GCF_026644375.1.gff S5
GCF_026644375.1.gff L30
GCF_026644375.1.gff L15
GCF_026644375.1.gff L36
GCF_026644375.1.gff S13
GCF_026644375.1.gff S11
GCF_026644375.1.gff L17
GCF_026644375.1.gff S4
GCF_026644375.1.gff S16
GCF_026644375.1.gff L19
GCF_026644375.1.gff L32
GCF_026644375.1.gff L21
GCF_026644375.1.gff L27
GCF_026644375.1.gff L25
GCF_026644375.1.gff S15

GCF_001242845.1.gff S9
GCF_001242845.1.gff L13
GCF_001242845.1.gff L28
GCF_001242845.1.gff L33
GCF_001242845.1.gff S21
GCF_001242845.1.gff S10
GCF_001242845.1.gff L3
GCF_001242845.1.gff L4
GCF_001242845.1.gff L23
GCF_001242845.1.gff L2
GCF_001242845.1.gff S19
GCF_001242845.1.gff L22
GCF_001242845.1.gff S3
GCF_001242845.1.gff L16
GCF_001242845.1.gff L29
GCF_001242845.1.gff S17
GCF_001242845.1.gff L14
GCF_001242845.1.gff L24
GCF_001242845.1.gff L5
GCF_001242845.1.gff S14
GCF_001242845.1.gff S8
GCF_001242845.1.gff L6
GCF_001242845.1.gff L18
GCF_001242845.1.gff S5
GCF_001242845.1.gff L30
GCF_001242845.1.gff L15
GCF_001242845.1.gff L36
GCF_001242845.1.gff S13
GCF_001242845.1.gff S11
GCF_001242845.1.gff S4
GCF_001242845.1.gff L17
GCF_001242845.1.gff S12
GCF_001242845.1.gff S7
GCF_001242845.1.gff L11
GCF_001242845.1.gff L10
GCF_001242845.1.gff L7/L12
GCF_001242845.1.gff L31
GCF_001242845.1.gff S6
GCF_001242845.1.gff S18
GCF_001242845.1.gff L9
GCF_001242845.1.gff L21
GCF_001242845.1.gff L27
GCF_001242845.1.gff S15
GCF_001242845.1.gff L32
GCF_001242845.1.gff S1
GCF_001242845.1.gff L20
GCF_001242845.1.gff L35
GCF_001242845.1.gff L34
GCF_001242845.1.gff L25
GCF_001242845.1.gff L19
GCF_001242845.1.gff S16
GCF_001242845.1.gff S2
GCF_001242845.1.gff S20

GCA_001029715.1.gff L34
GCA_001029715.1.gff L25
GCA_001029715.1.gff S20
GCA_001029715.1.gff S15
GCA_001029715.1.gff S12
GCA_001029715.1.gff S7
GCA_001029715.1.gff L3
GCA_001029715.1.gff L4
GCA_001029715.1.gff L25
GCA_001029715.1.gff L2
GCA_001029715.1.gff S19
GCA_001029715.1.gff L22
GCA_001029715.1.gff S3
GCA_001029715.1.gff L16
GCA_001029715.1.gff L29
GCA_001029715.1.gff S17
GCA_001029715.1.gff L14
GCA_001029715.1.gff L24
GCA_001029715.1.gff L5
GCA_001029715.1.gff S14
GCA_001029715.1.gff S8
GCA_001029715.1.gff L6
GCA_001029715.1.gff L18
GCA_001029715.1.gff S5
GCA_001029715.1.gff L15
GCA_001029715.1.gff S13
GCA_001029715.1.gff S11
GCA_001029715.1.gff S4
GCA_001029715.1.gff L17
GCA_001029715.1.gff L13
GCA_001029715.1.gff S9
GCA_001029715.1.gff L27
GCA_001029715.1.gff L21
GCA_001029715.1.gff L19
GCA_001029715.1.gff L35
GCA_001029715.1.gff L20
GCA_001029715.1.gff S16
GCA_001029715.1.gff S2
GCA_001029715.1.gff L31
GCA_001029715.1.gff S18
GCA_001029715.1.gff S6
GCA_001029715.1.gff L28
GCA_001029715.1.gff L11
GCA_001029715.1.gff L1
GCA_001029715.1.gff L10
GCA_001029715.1.gff L7/L12

GCF_900044015.1.gff L28
GCF_900044015.1.gff L33
GCF_900044015.1.gff L13
GCF_900044015.1.gff S9
GCF_900044015.1.gff S15
GCF_900044015.1.gff L27
GCF_900044015.1.gff L21
GCF_900044015.1.gff L19
GCF_900044015.1.gff S16
GCF_900044015.1.gff L17
GCF_900044015.1.gff S4
GCF_900044015.1.gff S11
GCF_900044015.1.gff S13
GCF_900044015.1.gff L36
GCF_900044015.1.gff L15
GCF_900044015.1.gff L30
GCF_900044015.1.gff S5
GCF_900044015.1.gff L18
GCF_900044015.1.gff L6
GCF_900044015.1.gff S8
GCF_900044015.1.gff S14
GCF_900044015.1.gff L5
GCF_900044015.1.gff L24
GCF_900044015.1.gff L14
GCF_900044015.1.gff S17
GCF_900044015.1.gff L29
GCF_900044015.1.gff L16
GCF_900044015.1.gff S3
GCF_900044015.1.gff L22
GCF_900044015.1.gff S19
GCF_900044015.1.gff L2
GCF_900044015.1.gff L23
GCF_900044015.1.gff L4
GCF_900044015.1.gff L3
GCF_900044015.1.gff S10
GCF_900044015.1.gff L34
GCF_900044015.1.gff L35
GCF_900044015.1.gff L20
GCF_900044015.1.gff L25
GCF_900044015.1.gff L32
GCF_900044015.1.gff S21
GCF_900044015.1.gff S2
GCF_900044015.1.gff S20
GCF_900044015.1.gff S12
GCF_900044015.1.gff S7
GCF_900044015.1.gff L11
GCF_900044015.1.gff L1
GCF_900044015.1.gff L10
GCF_900044015.1.gff L7/L12
GCF_900044015.1.gff S6
GCF_900044015.1.gff S18
GCF_900044015.1.gff L9
GCF_900044015.1.gff L31
GCF_900044015.1.gff S1

GCA_005697395.1.gff S20
GCA_005697395.1.gff S15
GCA_005697395.1.gff S6
GCA_005697395.1.gff S18
GCA_005697395.1.gff L28
GCA_005697395.1.gff L20
GCA_005697395.1.gff L35
GCA_005697395.1.gff S21
GCA_005697395.1.gff L21
GCA_005697395.1.gff L31
GCA_005697395.1.gff S2
GCA_005697395.1.gff L27
GCA_005697395.1.gff L7/L12
GCA_005697395.1.gff L10
GCA_005697395.1.gff L1
GCA_005697395.1.gff L11
GCA_005697395.1.gff L33
GCA_005697395.1.gff S9
GCA_005697395.1.gff L13
GCA_005697395.1.gff L17
GCA_005697395.1.gff S4
GCA_005697395.1.gff S11
GCA_005697395.1.gff S13
GCA_005697395.1.gff L36
GCA_005697395.1.gff L15
GCA_005697395.1.gff S5
GCA_005697395.1.gff L18
GCA_005697395.1.gff L6
GCA_005697395.1.gff S8
GCA_005697395.1.gff S14
GCA_005697395.1.gff L5
GCA_005697395.1.gff L24
GCA_005697395.1.gff L14
GCA_005697395.1.gff S17
GCA_005697395.1.gff L29
GCA_005697395.1.gff L16
GCA_005697395.1.gff S3
GCA_005697395.1.gff L22
GCA_005697395.1.gff S19
GCA_005697395.1.gff L2
GCA_005697395.1.gff L23
GCA_005697395.1.gff L4
GCA_005697395.1.gff L3
GCA_005697395.1.gff S10
GCA_005697395.1.gff S7
GCA_005697395.1.gff S12
GCA_005697395.1.gff L19
GCA_005697395.1.gff S16
